,City,Country,Lat,Lng,Hotel Name
12,avarua,CK,-21.21,-159.78,Pacific Resort Rarotonga
25,kantang,TH,7.42,99.52,Seven Seas Resort Koh Kradan
44,puerto ayora,EC,-0.74,-90.35,Finch Bay Galapagos Hotel
59,bontang,ID,0.12,117.47,Hotel Royal Victoria Sangatta
87,ambilobe,MG,-13.19,49.05,Iharana Bush Camp
91,bella vista,AR,-28.51,-59.05,Hotel Río Arriba
100,sorong,ID,-0.86,131.25,Meridian Adventure Scuba Dive Resort & Marina
104,mbigou,GA,-1.9,11.91,
106,hilo,US,19.71,-155.08,Volcano Inn
153,porto novo,BR,-23.68,-45.44,Coconut's Maresias Hotel
159,manado,ID,1.49,124.85,Bunaken Cha Cha Nature Resort
164,kathmandu,NP,27.71,85.32,The Dwarika's Hotel
190,saint-georges,CA,46.12,-70.67,Comfort Inn
201,luanda,AO,-8.83,13.24,EPIC SANA Luanda
203,namatanai,PG,-3.66,152.44,Namatanai Hotel
211,labuhan,ID,-2.54,115.51,Mountain Meratus Resort
221,marawi,PH,8.0,124.29,Ultra Winds Mountain Resort
222,samana,EC,0.12,-76.97,Gran Hotel de Lago - Shushufindi
223,koronowo,PL,53.31,17.94,Notera Hotel SPA
229,aketi,CD,2.74,23.78,
234,katobu,ID,-4.94,122.53,Hotel Mutiara
235,banjar,ID,-7.37,108.54,"The Beach House, Batu Karas"
237,andradas,BR,-22.07,-46.57,Palace Hotel
264,saint-leu,RE,-21.15,55.28,Lodge Roche Tamarin & Spa Village Nature
268,dingle,PH,11.0,122.67,Courtyard by Marriott Iloilo
288,san quintin,PH,17.54,120.52,Hotel Luna
294,takoradi,GH,4.89,-1.75,Lemon Beach Resort
301,aitape,PG,-3.15,142.36,
302,alofi,NU,-19.06,-169.92,Scenic Matavai Resort Niue
310,airai,TL,-8.93,125.41,Hotel Long Xiang
311,balkanabat,TM,39.51,54.36,Nebitchi Hotel
322,tshikapa,CD,-6.42,20.79,Hotel Lbwoa
334,san patricio,PY,-26.98,-56.83,Santa Maria Hotel
345,eseka,CM,3.65,10.77,Hotel Eseka Palace
354,daru,SL,7.99,-10.85,PALOMA GUEST HOUSE
358,alyangula,AU,-13.85,136.42,Groote Eylandt Lodge
361,boyolangu,ID,-8.09,111.9,Grand Surya Hotel Kediri
385,santa maria,BR,-29.69,-53.81,Hotel Recanto Business Center
393,juiz de fora,BR,-21.76,-43.35,ECO RESORT BELA RIBA
402,sambava,MG,-14.27,50.17,Carrefour
431,cartagena del chaira,CO,1.33,-74.84,
443,lucapa,AO,-8.42,20.74,
450,lorengau,PG,-2.02,147.27,Tharapiyap Lodge
468,san cristobal,EC,-0.39,-78.55,Casa Gangotena
469,san ramon,NI,12.92,-85.84,"Finca Esperanza Verde - Eco Lodge, Coffee Farm & Nature Retreat"
478,samarinda,ID,-0.5,117.14,Mercure Samarinda
485,san-pedro,CI,4.75,-6.64,Hôtel Palm Rock Beach
494,baylo,PH,7.85,126.06,Big 8 Corporate Hotel
516,malindi,KE,-3.22,40.12,Hemingways Watamu
534,marzuq,YE,14.4,46.47,Dubai Hotel and Suites-فندق دبي للغرف المفروشه
539,palu,ID,-0.9,119.87,Palu Golden Hotel
